Type,BodyPart,Equipment,Level,Title
4,0,10,2,1221
4,13,1,2,2490
4,0,2,2,2311
4,5,0,0,408
4,0,2,2,2117
4,9,3,2,401
4,11,4,2,1674
4,5,2,2,102
4,0,2,2,113
4,0,2,2,1319
4,0,2,2,883
4,16,9,2,26
4,16,4,2,16
4,13,9,2,128
4,13,2,2,920
3,16,11,0,530
4,0,6,2,192
2,13,11,2,471
4,13,11,2,761
4,8,9,2,1803
4,3,3,0,1859
4,0,2,2,1122
4,14,11,2,2121
4,16,2,2,2
4,9,2,2,2147
2,13,11,0,2366
4,0,2,2,1767
4,7,2,2,2860
4,9,2,2,1762
6,10,11,2,274
4,13,2,2,442
4,0,1,2,623
4,0,2,2,185
4,0,6,0,2874
4,11,1,2,47
4,6,0,2,307
4,5,9,0,2479
4,10,6,0,796
4,9,4,2,1449
5,13,2,2,1873
4,7,2,2,2787
4,13,1,2,2843
4,9,9,2,2425
4,5,1,0,2897
4,13,2,2,2280
4,16,2,2,413
5,13,11,0,1677
5,1,2,0,2451
4,5,2,2,1442
4,9,4,2,2633
1,13,1,0,1202
4,14,4,2,818
4,0,2,2,2326
4,0,2,2,2212
4,0,2,2,1139
4,14,9,2,2486
4,0,2,2,974
4,0,4,2,721
4,13,2,2,2737
4,5,2,2,0
4,11,3,2,2254
4,5,2,2,1423
5,5,11,0,400
4,9,11,1,271
4,0,2,2,1034
4,3,3,2,8
4,5,11,2,2714
4,13,2,2,1150
5,10,2,2,2101
4,7,3,2,506
4,0,6,2,2674
4,14,4,2,666
4,16,3,2,2756
4,15,9,0,521
1,8,1,0,547
4,7,9,2,123
5,8,12,2,2233
4,5,2,2,1340
4,9,3,2,2635
4,0,2,2,1200
4,3,4,2,35
4,0,3,2,78
4,0,4,2,911
4,9,2,2,2333
4,14,3,0,495
4,14,4,0,2134
4,0,2,2,1134
2,2,11,2,1797
4,14,0,2,309
4,0,11,2,1435
4,0,2,2,1159
4,0,0,2,302
4,13,11,2,1593
4,4,9,0,2481
4,11,11,2,258
4,5,1,2,2820
0,8,11,0,2471
4,0,2,2,830
4,3,11,0,2660
4,0,12,2,622
4,0,2,2,1109
4,11,3,2,2095
4,14,1,2,1875
4,14,3,2,2824
4,14,4,2,267
4,7,2,2,2624
4,0,3,2,2353
4,0,2,2,114
4,0,2,2,1230
4,0,9,2,191
0,13,2,2,1707
4,13,2,2,1474
4,0,9,2,2483
4,10,2,2,1056
4,9,0,2,2773
4,13,2,2,1293
4,5,4,2,87
2,13,2,2,629
4,3,11,0,2193
4,8,9,2,2274
4,8,9,2,1870
4,9,11,2,1450
5,6,12,0,1774
4,0,2,2,2888
4,0,2,2,1372
4,13,4,2,1609
4,6,11,2,1787
5,1,2,2,1120
4,7,4,2,2431
4,14,4,2,152
4,5,9,2,1882
4,11,4,2,1901
4,3,4,2,2090
2,13,2,2,2463
4,13,4,2,1965
2,5,10,0,536
4,0,11,2,1260
4,0,0,2,2078
5,7,2,2,2030
4,0,2,2,834
4,14,4,0,2188
4,13,4,2,1588
4,13,2,2,2821
4,13,2,2,448
6,13,11,2,2465
4,16,5,0,1844
4,10,2,2,2655
4,13,1,2,335
4,0,2,2,829
4,16,0,2,304
4,7,2,2,1101
4,7,2,2,1288
4,0,2,2,259
4,11,2,2,58
4,13,11,2,1586
4,14,4,2,689
4,8,8,2,2413
4,5,3,2,490
4,13,4,0,694
5,8,11,0,1848
4,13,11,0,354
4,0,10,2,2077
4,5,2,2,1942
4,0,2,2,1219
4,14,4,2,204
4,0,2,2,772
4,14,2,2,397
4,13,1,2,2085
4,0,4,2,1377
2,13,2,2,2332
4,4,9,0,514
4,14,4,2,878
4,10,2,2,1057
4,0,2,0,1197
4,0,2,2,1548
4,5,4,2,1669
4,13,4,2,1608
4,13,2,2,1106
4,13,4,2,1262
4,5,2,2,2837
4,3,3,2,197
3,16,4,2,714
4,0,2,2,1096
4,9,8,2,933
4,14,11,2,2469
4,15,4,2,2568
4,13,2,2,1252
4,13,4,2,1607
4,3,4,0,948
4,0,11,2,2879
5,10,2,2,1158
4,3,5,2,18
4,4,2,2,2602
4,7,3,2,2799
4,0,2,2,1318
4,0,10,2,916
4,0,2,2,774
2,5,10,0,538
4,8,1,0,2627
4,5,1,0,2891
